"filename", "language", "Go Module File", "Go", "Markdown", "comment", "blank", "total"
"/Users/yao/blockchain/softfloat-go/comp/s_roundToUI64.go", "Go", 0, 24, 0, 3, 2, 29
"/Users/yao/blockchain/softfloat-go/comp/s_shiftLeftM.go", "Go", 0, 34, 0, 1, 4, 39
"/Users/yao/blockchain/softfloat-go/comp/s_shiftRightJam32.go", "Go", 0, 15, 0, 0, 2, 17
"/Users/yao/blockchain/softfloat-go/comp/s_shiftRightJam64.go", "Go", 0, 15, 0, 0, 2, 17
"/Users/yao/blockchain/softfloat-go/comp/s_shiftRightJamM.go", "Go", 0, 71, 0, 4, 4, 79
"/Users/yao/blockchain/softfloat-go/comp/s_shiftRightM.go", "Go", 0, 46, 0, 0, 4, 50
"/Users/yao/blockchain/softfloat-go/comp/s_shortShiftLeftM.go", "Go", 0, 20, 0, 0, 4, 24
"/Users/yao/blockchain/softfloat-go/comp/s_shortShiftRightJam64.go", "Go", 0, 8, 0, 1, 2, 11
"/Users/yao/blockchain/softfloat-go/comp/s_shortShiftRightJamM.go", "Go", 0, 24, 0, 0, 4, 28
"/Users/yao/blockchain/softfloat-go/comp/s_shortShiftRightM.go", "Go", 0, 20, 0, 0, 4, 24
"/Users/yao/blockchain/softfloat-go/comp/s_subM.go", "Go", 0, 26, 0, 0, 4, 30
"/Users/yao/blockchain/softfloat-go/comp/s_subMagsF16.go", "Go", 0, 120, 0, 29, 4, 153
"/Users/yao/blockchain/softfloat-go/comp/s_subMagsF32.go", "Go", 0, 94, 0, 17, 4, 115
"/Users/yao/blockchain/softfloat-go/comp/s_subMagsF64.go", "Go", 0, 94, 0, 13, 5, 112
"/Users/yao/blockchain/softfloat-go/comp/ui32_to_f16.go", "Go", 0, 30, 0, 0, 4, 34
"/Users/yao/blockchain/softfloat-go/comp/ui32_to_f32.go", "Go", 0, 16, 0, 0, 4, 20
"/Users/yao/blockchain/softfloat-go/comp/ui32_to_f64.go", "Go", 0, 17, 0, 0, 4, 21
"/Users/yao/blockchain/softfloat-go/comp/ui64_to_f16.go", "Go", 0, 26, 0, 0, 4, 30
"/Users/yao/blockchain/softfloat-go/comp/ui64_to_f32.go", "Go", 0, 26, 0, 0, 4, 30
"/Users/yao/blockchain/softfloat-go/comp/ui64_to_f64.go", "Go", 0, 16, 0, 0, 3, 19
"/Users/yao/blockchain/softfloat-go/doc.md", "Markdown", 0, 0, 5, 0, 2, 7
"/Users/yao/blockchain/softfloat-go/go.mod", "Go Module File", 1, 0, 0, 0, 1, 2
"/Users/yao/blockchain/softfloat-go/include/internals.go", "Go", 0, 93, 0, 0, 25, 118
"/Users/yao/blockchain/softfloat-go/include/opts.go", "Go", 0, 20, 0, 1, 5, 26
"/Users/yao/blockchain/softfloat-go/include/primitive_types.go", "Go", 0, 29, 0, 0, 11, 40
"/Users/yao/blockchain/softfloat-go/include/softfloat.go", "Go", 0, 19, 0, 4, 5, 28
"/Users/yao/blockchain/softfloat-go/include/softfloat_types.go", "Go", 0, 5, 0, 10, 2, 17
"/Users/yao/blockchain/softfloat-go/include/utils.go", "Go", 0, 10, 0, 0, 3, 13
"/Users/yao/blockchain/softfloat-go/main.go", "Go", 0, 9, 0, 0, 4, 13
"Total", "-", 1, 3630, 7, 355, 488, 4481
